ticker,name,market,locale,active,source_feed,type
I:DJUSFNCT,Dow Jones U.S. Financials Capped Index (USD) TR,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSFN,Dow Jones U.S. Financials Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSFNT,Dow Jones U.S. Financials Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSFC,Dow Jones U.S. Fixed Line Telecommunications Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSFB,Dow Jones U.S. Food & Beverage Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSDR,Dow Jones U.S. Food & Drug Retailers Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSFO,Dow Jones U.S. Food Producers Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSFP,Dow Jones U.S. Food Products Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSFD,Dow Jones U.S. Food Retailers & Wholesalers Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSFT,Dow Jones U.S. Footwear Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSFH,Dow Jones U.S. Furnishings Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSCA,Dow Jones U.S. Gambling Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSGU,Dow Jones U.S. Gas Distribution Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSUO,Dow Jones U.S. Gas Water & Multiutilities Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSGI,Dow Jones U.S. General Industrials Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSGT,Dow Jones U.S. General Retailers Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSPM,Dow Jones U.S. Gold Mining Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSGR,Dow Jones U.S. Growth Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Style
I:DJUSMC,Dow Jones U.S. Health Care Equipment & Services Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSHC,Dow Jones U.S. Health Care Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSHP,Dow Jones U.S. Health Care Providers Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSHCT,Dow Jones U.S. Health Care Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSHV,Dow Jones U.S. Heavy Construction Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJTSAB,Dow Jones U.S. High Beta Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Style
I:DJTLMO,Dow Jones U.S. High Momentum Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Style
I:DJTLMOT,Dow Jones U.S. High Momentum Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSHB,Dow Jones U.S. Home Construction Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSHI,Dow Jones U.S. Home Improvement Retailers Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSHL,Dow Jones U.S. Hotel & Lodging REITs Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSLG,Dow Jones U.S. Hotels Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSHG,Dow Jones U.S. Household Goods & Home Construction Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUS,Dow Jones U.S. Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Broad
I:DJUSNTR,Dow Jones U.S. Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Broad
I:DJUSIO,Dow Jones U.S. Industrial & Office REITs Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSIQ,Dow Jones U.S. Industrial Engineering Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSIG,Dow Jones U.S. Industrial Goods & Services Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSFE,Dow Jones U.S. Industrial Machinery Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSIM,Dow Jones U.S. Industrial Metals & Mining Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSDS,Dow Jones U.S. Industrial Suppliers Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSIT,Dow Jones U.S. Industrial Transportation Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSIN,Dow Jones U.S. Industrials Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSINT,Dow Jones U.S. Industrials Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSIB,Dow Jones U.S. Insurance Brokers Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSIR,Dow Jones U.S. Insurance Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSOL,Dow Jones U.S. Integrated Oil & Gas Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSSB,Dow Jones U.S. Investment Services Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSST,Dow Jones U.S. Iron & Steel Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJUSGL,Dow Jones U.S. Large-Cap Growth Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Style
I:DWLGT,Dow Jones U.S. Large-Cap Growth Total Stock Market Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Style
I:DJUSL,Dow Jones U.S. Large-Cap Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJULTC,Dow Jones U.S. Large-Cap Technology Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DWLT,Dow Jones U.S. Large-Cap Total Stock Market Total Return Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Size
